"mac_Id (S)","ts (N)","distance (N)"
"84:f3:eb:fc:61:71","1601997016809","1811"
"84:f3:eb:fc:61:71","1601997014562","101"
"84:f3:eb:fc:61:71","1601997012411","1813"
"84:f3:eb:fc:61:71","1601997010257","98"
"84:f3:eb:fc:61:71","1601997008104","1742"
"84:f3:eb:fc:61:71","1601997005850","1733"
"84:f3:eb:fc:61:71","1601997003804","1758"
"84:f3:eb:fc:61:71","1601997001551","1800"
"84:f3:eb:fc:61:71","1601996999401","1809"
"84:f3:eb:fc:61:71","1601996997147","1809"
"84:f3:eb:fc:61:71","1601996995100","1806"
"84:f3:eb:fc:61:71","1601996993061","110"
"84:f3:eb:fc:61:71","1601996990903","1810"
"84:f3:eb:fc:61:71","1601996988895","663"
"84:f3:eb:fc:61:71","1601996986708","1818"
"84:f3:eb:fc:61:71","1601996984450","1806"
"84:f3:eb:fc:61:71","1601996982404","1810"
"84:f3:eb:fc:61:71","1601996980256","1815"
"84:f3:eb:fc:61:71","1601996978099","1619"
"84:f3:eb:fc:61:71","1601996976089","33"
"84:f3:eb:fc:61:71","1601996974002","27"
"84:f3:eb:fc:61:71","1601996971941","27"
"84:f3:eb:fc:61:71","1601996969845","21"
"84:f3:eb:fc:61:71","1601996596309","113"
"84:f3:eb:fc:61:71","1601996594169","112"
"84:f3:eb:fc:61:71","1601996592064","112"
"84:f3:eb:fc:61:71","1601996589963","112"
"84:f3:eb:fc:61:71","1601996587864","112"
"84:f3:eb:fc:61:71","1601996585746","114"
"84:f3:eb:fc:61:71","1601996583648","111"
"84:f3:eb:fc:61:71","1601996581519","115"
"84:f3:eb:fc:61:71","1601996579382","111"
"84:f3:eb:fc:61:71","1601996577303","114"
"84:f3:eb:fc:61:71","1601996575174","112"
"84:f3:eb:fc:61:71","1601996573048","112"
"84:f3:eb:fc:61:71","1601996570946","112"
"84:f3:eb:fc:61:71","1601996568849","112"
"84:f3:eb:fc:61:71","1601996566746","112"
"84:f3:eb:fc:61:71","1601996565418","111"
"84:f3:eb:fc:61:71","1601996562381","112"
"84:f3:eb:fc:61:71","1601996560263","112"
"84:f3:eb:fc:61:71","1601996558091","114"
"84:f3:eb:fc:61:71","1601996555917","112"
"84:f3:eb:fc:61:71","1601996553751","113"
"84:f3:eb:fc:61:71","1601996551658","112"
"84:f3:eb:fc:61:71","1601996549512","114"
"84:f3:eb:fc:61:71","1601996547379","111"
"84:f3:eb:fc:61:71","1601996545208","112"
"84:f3:eb:fc:61:71","1601996543110","114"
"84:f3:eb:fc:61:71","1601996540941","112"
"84:f3:eb:fc:61:71","1601996538837","112"
"84:f3:eb:fc:61:71","1601996536734","111"
"84:f3:eb:fc:61:71","1601996534588","113"
"84:f3:eb:fc:61:71","1601996532406","113"
"84:f3:eb:fc:61:71","1601996530306","109"
"84:f3:eb:fc:61:71","1601996528212","114"
"84:f3:eb:fc:61:71","1601996526115","79"
"84:f3:eb:fc:61:71","1601996524021","105"
"84:f3:eb:fc:61:71","1601996521922","105"
"84:f3:eb:fc:61:71","1601996519771","105"
"84:f3:eb:fc:61:71","1601996517634","106"
"84:f3:eb:fc:61:71","1601996515488","86"
"84:f3:eb:fc:61:71","1601996513380","105"
"84:f3:eb:fc:61:71","1601996511216","108"
"84:f3:eb:fc:61:71","1601996509121","112"
"84:f3:eb:fc:61:71","1601996506950","107"
"84:f3:eb:fc:61:71","1601996504813","105"
"84:f3:eb:fc:61:71","1601996502686","85"
"84:f3:eb:fc:61:71","1601996500587","104"
"84:f3:eb:fc:61:71","1601996498491","105"
"84:f3:eb:fc:61:71","1601996496386","69"
"84:f3:eb:fc:61:71","1601996494288","105"
"84:f3:eb:fc:61:71","1601996492195","108"
"84:f3:eb:fc:61:71","1601996490098","98"
"84:f3:eb:fc:61:71","1601996487928","88"
"84:f3:eb:fc:61:71","1601996213203","114"
"84:f3:eb:fc:61:71","1601996211129","70"
"84:f3:eb:fc:61:71","1601996209015","69"
"84:f3:eb:fc:61:71","1601476224113","125"
"84:f3:eb:fc:61:71","1601476221967","126"
"84:f3:eb:fc:61:71","1601476219819","124"
"84:f3:eb:fc:61:71","1601476217669","125"
"84:f3:eb:fc:61:71","1601476215522","124"
"84:f3:eb:fc:61:71","1601476213371","125"
"84:f3:eb:fc:61:71","1601476211193","124"
"84:f3:eb:fc:61:71","1601476209189","126"
"84:f3:eb:fc:61:71","1601476207037","125"
"84:f3:eb:fc:61:71","1601476204890","126"
"84:f3:eb:fc:61:71","1601476202743","124"
"84:f3:eb:fc:61:71","1601476200594","18"
"84:f3:eb:fc:61:71","1601476198467","15"
"84:f3:eb:fc:61:71","1601476196347","15"
"84:f3:eb:fc:61:71","1601476194183","16"
"84:f3:eb:fc:61:71","1601476192092","124"
"84:f3:eb:fc:61:71","1601476189940","126"
"84:f3:eb:fc:61:71","1601476187797","115"
"84:f3:eb:fc:61:71","1601476185669","16"
"84:f3:eb:fc:61:71","1601476183578","11"
"84:f3:eb:fc:61:71","1601476181472","125"
"84:f3:eb:fc:61:71","1601476179288","113"
